input,translation
"त्यसपछि बेस्सरी अँगालो मारेर रुनुभयो , पुतली दिदीलाई । ","होटीङ बेस्सरी अँगालो आर्जुम रापा , पुली डैके ।"
‘सर चिन्नुभएन मलाई  ? ’,होसै चीन्डीके मारे ङाके ?
जानसेनको रुखोपनाबाट आतंकित भएकी मारीले भनी  । ,नुङ्के रुखोीङ मीनाकीङ आर्तंक लेच माङा ।
म पढ्न कहाँ सक्छु र  ? ,ङा पढीस्के कुलाङ हेक्लाङ र ?
"तीन , शास्त्रीय संगीत  । ","सोम , माझौ संगी ल्हीङ ।"
"तर मैले भनिदिएँ , ‘ओके  । ’","टर ङै डेया , ङाडेयाङ ।"
यो पीडाबाट व्यक्तिगत रूपमा उन्मुक्ति पाउन बहुलाउनु र भीरबाट हाम फालेर मर्नुभन्दा जनताको उन्मुक्तिका लागि फेरि बन्दुक समातेर युद्धमा होमिनु र दुश्मनको गोली खाएर मर्नु श्रेयष्कर र गौरवपूर्ण हुन्छ भन्ने लागेर म विप्लव माओवादी बन्न विवश भएँ सर  । ,इसे ठुलीङ व्यक्ति अनी डुपाङ उन्मुक्ति पाके बहुला अनी भीर काबोक वीहाके मन्डीया ।
धेरैले उठाएका र उठ्ने प्रश्न यिनै हुन् । ,ढेर सोक्नाङ सोट्के अनी सोके प्रश्न इसे आले ।
"हिजो स्वस्थ हुनुहुँदा एकै समयमा काठमाडौं , भक्तपुर , ललितपुर भ्याउनुहुन्थ्यो साइकलमै  । ","टीसीनीङ स्वस्थ छान्ह्च काट न समयाङ काठमाडौं , भक्तपुर , ललिटपुर भ्याको साइक राहाओला ।"
यो बिल्डिङ मलाई जेलजस्तै लाग्छ  । ,इसे बिल्डीङ ङाके मीझन लैडीस्ले ।
भन्छन्– यो गजपको विषय हो  । ,डेउला इसे गजौ विषय आले ।
"तिमी छौ र त म छु , म छु र त तिमी छौ । ","नाङ लेक अनी च ङा छुन , ङा ले अनी च नाङ ले ।"
साँझ बहिनीले मलाई थिएटर पुर्याइन् । ,नामार्च नानीय ङाके लेयार सीम टाहाका ।
मेरो काकाको छोरा भाइ कार्ल द रोबिलले मलाई हिलोको दलदलनजिकै विहान हाँसहरूको शिकार गर्नलाई आमन्त्रित गरेको थियो । ,ङौ बाबुओ लेन्जामीजा भया खुर्डल ड राबिलय ङाके व्हाच डाजीओ डलन गोराकओ हेटो जाट्के लेया ।
तर ती शब्द उसलाई मन परेनन् अनि उसले प्वाक्क भन्यो । ,टर होस शब्द होसके मीमन परीस्के अनी होच्य प्वाक्क डेया ।
तर सुमतीको कोठेबारीको बुख्याँची हेर्नलाई सरोज आप्mनै कोठेबारी छिनर््ुपर्छ । ,टर मीस्मन लेको कोठेबारीओ बोख्याम ङोस्के सरो आरोजनके कोठुर्केपरीस ले ।
मन्दिर पस्दा कुनै महिलाले सम्पूर्ण शरीर ढाकेर प्रवेश गरेको रहेछ भने पुरोहितले लाठिको सहायताले महिलाको लुगा च्यातेर फ्याँकिदिन्थे । ,मन्दिर पस्नाङन माझामीजै सम्पूर्ण शरीर मीचार्डीम प्रवेश जाट्च डेनाङ पुरोटितारो आर्चीक्म च्याका ।
जुन विषय संस्कारका रूपमा जीवन्त हुन्छन््् ती रैथाने हुन् । ,जुन विषय संस्कार अनीूपाङ जीवन्टै होस अनी होसनथाओ आले ।
खुसी भएर रुमतिर दगुर्दै थिएँ  । ,खुसी छान्ह्म राप्मनलाक डगुर्डीमन लेया ।
प्रगतिको आवश्यकताका कारण नै मौलिक प्रविधिहरू जन्मिए  । ,प्रगटीओ आवश्यताओ कारण न मौलीक प्रीढ्डीच फुमिका ।
मैले बहिनीलाई गम्लाङ्ग अँगालो मारेँ  । ,ङै नानीके गम्लाङ्ग अँगालो ङाटा ।
"श्री गणेशाय नमः , सबै मिली गरौँ भजन  । ","माझा गणेशाय मामः , जम्मै खाटाली जाट्नी ।"
"नेपाली समाज , भाषा–संस्कृति , रहनसहन , खानपान हाम्रा छिमेकी मुलुकहरूको भन्दा भिन्न छ  । ","नेपाली समाज , भाषा फेट्मनंस्ति , रहनसहन , गाकेपन जम्राओ मुलुकओ भिन्न डेनाङ भिन्न ले ।"
उनी घरघर पसेर दलित जातिका महिलाको स्तनको नाप नाप्न थाले । ,होसे इमइमो पसेर दलित जातिकाओ माझा स्टनो नाम्के ठाला ।
विज्ञ पाठकहरूको सुझाव अपेक्षित छ  । ,विज्ञ पाठकको स्वास्था अपेक्षित ले ।
त्यस दिन पुतली दिदीको आँखामा भयको एउटा सर्को दौडिएको थियो । ,होस याक पुन डैओ मीमीकाङ छान्ह्मभ्याच काट सर्को दौडीच लेया ।
गोइ भनेको चाहिँ एकजोडी हलगोरु  । ,बुबा डेच चैडीसा काट जोहोका हल म्हेरु ।
मैले भरखरै अखबारमा आम–समाचारका बीच पागलपनले भरिएको प्रेमको एउटा कथा पढेंँ । ,ङै भरखरै अखाराङ राहाच मीमासाराङो बीचाङ डीन्ह्च भरीपने प्रेमओ कथा पढीस्च ।
आगो निभाइदेऊ । ,म्हेनीङ निभ्होरा ।
हिजो ती ‘द्वन्द्वात्मक भौतिकवाद’को रटना गर्थे । ,टीसीनीङ होस माझौद्वन्द्वाट्म भटीकवादौ अनी छटो जाट्मन जाटोला ।
तर घरभित्र र मन्दिरमा ब्राह्मण पुरुष तथा राजपरिवारका सदस्यको अगाडि जाँदा स्तन देखाउन विवश थिए । ,टर इमभीट्री अनी मन्दिराङ बजाएर पुरुष चथापरिनो सपरीसो अगाडी जनडीके स्टनाक्के लेया ।
नभन्दै यो नाङ्सालको तेज चमकचमक गर्दै सर्वत्र पुग्दोरहेछ  । ,नडेमन इसे नाङ्सालओ टेजम चमकम जाट्मन सर्व्होरा सीले ।
आज मात्रै जा । ,छीनीङ मात्र नुङ्नी ।
"त्यासपछि बाजे , बा , आमा र म । ","ट्यासीङ बाजी , बा , मोइ अनी ङा ।"
ठूलो सपना देख्नुपर्छ । ,बड्को मङ्ना डाङ्केपर्ले ।
सामान्यतया मानिसको सोच्ने तरिकालाई संस्कारका रूपमा बुझ्ने गरिन्न । ,सामान्यया भर्मीओ सोच टरिकाके संस्कार अनीूपाङ व्हाके गरी ।
"उनी समस्त चिनियाँँ युवाहरूको आकर्षण , प्रेरणा र अनुकरणको सम्मोहक गीततुल्य बनिन्  । ","होसे समस्ती चीउयाँ युवाको आकर्षण , प्रेरणा अनी अनुसार अनुकर सम्म ल्हीङो ल्हीङ ।"
म तिमीलाई राम्रो मान्छे बनेको देख्न चाहन्छु  । ,ङा नाङके सेहेच भर्मी बन्डीच मापालाङ ।
खानपिन सकिएपछि म ओच्छ्यानमा गएर घुस्रिएँ र तुरुन्तै निदाएँ । ,ज्याकेगाके डूमारप्याक ङा ओच्छाटाङ नुहुँआर घुस्रिया अनी तुन्टै ङााङ ।
"हरे बाल मनस्थिति , जे पिलायो त्यही पिउँछ ! ","हयाङ बाल मीमनढेमाङ , मीगाला होस्न न्हुन गाले !"
गुन्डागर्दी नै गर्ने मनसाय भए इन्द्रचोकका अरू गल्लीमा गुन्डागर्दी गर्नुहोला  । ,गुन्डागर्दी न मीमनसाय छान्ह्च इन्द्रकचोक अरु गल्लीआङ गुन्ड जाट्के मीमन जाटा ।
माथि चुच्चो र तल गोलाकार ( आइसक्रिम कोन ) आकारको हाम्रो छाप्रो एउटा विशाल हिराझैँ देखिएको थियो । ,ढेमाङ चुच्चो अनी म्हाकाङ बलखारतिर आयो माझा कोक्के पाच मेन ) आस्काट कानुङ छाप्रा काट वीहाम व्हाम लेया ।
आगोकै लागि भए पनि उनीहरूसँग सम्बन्ध सुमधुर राख्नुपर्ने बाध्यता थियो  । ,म्हेकै लागी लेनाङ ड होसकठा सम्बन्ध सुम डाकेपरीस्के बाढुर लेया ।
उत्तरतिर सुनकोसी र दक्षिणतिर रोसीखोलाको नागबेली बहावको दृश्य उत्तिकै रोमाञ्चक  । ,उट्टरलाक सुनोसी अनी दक्षिणलाक रासीओ नाग्याच बेली बहावृश्यवौ डोकोआङ रोप्डीया ।
यहाँ आइपुग्दा उपल्लो तेमाल जाने बाटो आधा हुने भएकाले बटुवाहरूले ‘आधाबाटो’ भन्दाभन्दै यो गाउँको नामै कुनै समय ‘आधाबाट’ बनेको थियो  । ,इलाङ टाराहाले होसे उपल्लो टेमाल नुहुँके लाम आढीस्च लेनाङ बटुवाकै बटुवाकोइङघो काबोकन गामन लेया ।
"आफ्नो मृत सङ्गिनीप्रति पशुवत् प्रेम , उसप्रतिको गहिरो लगावले उसलाई खतराका प्रति बेपर्वाह गरिदिएको थियो । ","मेनो मृत सङ्गिनीप्रति पशुवट्टा प्रेम , होच्यो गल्टीओ गहीरीङ लैडीस्च होच्यो खेरेपयाहा जाट्मन लेया ।"
खुला हिँडिरहन मनमा कताकता सरकारी सुलसुलेको डर थियो  । ,मीला व्हारच मीमनाङ कुलाकक सरकारी सेम लेया ।
"र , त्यसै गथ्र्यौँ  । ",रहीन्चन नुहुँओला ।
यही उद्गार भूपि दाइ मनको गहिराइबाट व्यक्त गर्थे  । ,इलाङ उद्गार भूपिङ दाजीओ मीमनो गहीरीङ व्यूली जाट्ला ।
म उनकै पछि लागेँ  । ,ङा होसन न्हुन न्हुन लग्डीसा ।
"उनको कविताको एक लाइन अझै सम्झन्छु , ‘रस वर्षणमा अवरोध किन  ? ’","होच्यो कविताओ काट लाइन माव्हार्च आर्मीट्ले , आर ल्हेसाङ अवस्रो हीके ?"
चार वर्षपछि आएको २९ फेब्रुअरी म एक्लो छु  । ,बूली ल्हेसप्याक राहाच २ २९ुआङ ङाल्ला छुम्च ले ।
सतीबयरका मसिना पात सुम्सुम्याउँदै गर्दा यादहरू एकाएक सल्बलाउन थाले  । ,जम्मैयरका मसिना पार्नाङ सुम्सुमन जाट्नाङ यादको एकाचकाट सल्ह्के ठाला ।
त्यो टाप कसाइ निसासलाग्दो पिँजराबाट बन्धित सुगाको मुक्त आकाशमा मुक्तितुल्य थियो  । ,होस रेटाओ कसाइ निसालैडीस्च पीँजीईङ बन्ढ्डीस्च मुक्तकाओ मेङ्गेराङ मेङ्गेक्डीस्म लेया ।
त्यसपछि मलाई आकाश पनि आफ्नै घरजस्तो प्रिय लाग्न थालेको हो  । ,होटीङ ङाके राहाच ड मेल्लौ इमजङ्च प्रिय ख्योहोके ठाल्च आले ।
कतार जाने भए लाईन बस् । ,कटार नुहुँके डेनाङके ङुके ।
आँगनछेउ सतीबयरको रूख उस्तै रहेछ  । ,आर्भा सीनाङ सटीबयौ रूख उन्चन लेसा ।
बुबा झ्याम्मिन आउनुभएन  । ,बोइ झ्याम्म लाके माराहा ।
यी नै थिए कोठाको सौन्दर्य । ,इसे न लेया कोठाओ सौटर्याङ् ।
भय देखियो । ,भाइ व्होरा ।
त्यसपछि कुरा सम्हाल्दै जानसेनतिर फर्केर पेसेवर ढंगले मुस्कुराउँदै उसले भनी । ,होटीङ कुरा सम्हामन नुहुँके परिसलेलाक ल्हेस्म पेसाहुर ढंगय मुस्डीम होच्य डेया ।
आँखै तिरिमिरी भयो  । ,मीमीको होच्योरिमिरी छान्हा ।
तिमी मलाई घृणा गछ्र्यौ भन्ने कुरा मलाई थाहा छ  । ,नाङ ङाके नामखन जाट्ले डेच कुरा ङाके ठाहा ले ।
केही समय गाउँको भेडी गोठालो बनेर गुजारा गरेँ  । ,हीड समय लाङ्घौ डुमार माङाम गुजा जाटाङ ।
यो त्यो रातमध्येको एक थियो जब हावा पनि जमेको प्रतीत हुन्छ । ,इसे होस नामबीमढ्यम काट लेया जब नाम ड ज्योती प्रतिट छान्ह्ले ।
"उनकै कमान्डरले अपहरणको फरमान जारी नगरेको भए सायद यति बेला म बुद्धचित्तको बोट स्याहारिरहेको हुन्थें होला , यही गाउँमा  । ","होच्यो कमाझाम अपहरणो फनराङ जारी माजाट्च लेनाङ सायद इटार सीचिओ बुद्धितं ङाप्मनलेच ओला , लाङ्घाङ माकोला ।"
आश्चर्य  ! ब्युँझिँदा दुई घण्टाको यात्रा पार गरेर सुनकोसी किनारको चुखाबेँसी सहर झरिसकेको रहेछु  । ,आश्चर्य ! ब्युँझिँनाङ न्हीस घण्टाओ यात्रा पार्लाक जाट्म सुन्सीनो हीके सीमभ्याच लेसा ।
अनि यति छिट्टै चीनमा पनि र नेपालमा पनि यसलाई किन यसरी बिर्सिइयो  ? ,अनी इतार छीट्टै चिन्नाङ ड नेपालाङ ड इसके हीके बीर्सिइ ?
कपालले छोपिएको पछिल्तिरको भागमा केही खतजस्तो देखिन्थो  । ,एकछिनय हुप्मनलाको भागाङ हीड खाट्च डाङोला ।
अनि ऊतिर क्षमा याचनाकारी मुस्कान फाल्दै मारी कुलेलम ठोकी  । ,अनी होसलाक झाङ याचकारी म्हाकाङस्कान फामन मरिचेका ठोहोआ ।
"त्यसैले त यी तिनलाई झिझ्याट लाग्ने गरी झकझक्याइरहन्छन् , स्मरण गराइरहन्छन्् । ","होटछान्नाङ च इसके झीझिकोके झीच गरि झाङ झक्याक्डीस्मङुले , सरण गरणरहन्ले ।"
कमसेकम भावनामा भए पनि मैले आफूलाई आश्वस्त पार्न सकेको छु कि म मेरा बाले अँगालेको सिद्धान्तबाट विचलित भएको छैन  । ,कमलेक भावनाङ लेनाङ ड ङै मेल्लाके आईश्वस्त पार्के माय्होका की माकाम ङौ बन्डीचय छुच सिल्टीङ्मने ।
म स्वतन्त्र छु  । ,ङा स्वन्त्र छुट्डीसा ।
बाले सुस्केरा निल्नुभयो । ,बाय सु मामन्डीयाको ।
"मुग्ध भएर सुन्नेमा म मात्र होइन , सारा श्रोता थिए  । ","गोराक छान्ह्म सेके ङा मात्रै माहाले , सारा श्रो लेया ।"
जागिर खानेहरूको संसार  । ,जागीर ज्याकेको संसार ।
‘द सङ अफ युथ’ मैले टाइपराइटरमा अविराम पटटको लयमा गरेको पहिलो अनुवाद हो  । ,होस सयम अफुलाडीस्च ङै टाइपराइतराङ अविमताओ लयौ लय जाट्च अनुशुवाद आले ।
यस दृष्टान्तबाट पनि नेपाली शासकहरूको प्रवृत्ति छर्लङ्ग हुन्छ । ,इच दृष्टैइङ ड नेपाली शासको प्रवृवृत्ति छलख छान्ह्ले ।
हामी एकैचोटि डाँको छोडेर रुन थाल्यौँ  । ,कान काट नचोटि डाँको डासार राप्के ठाला ।
पिताको विशाल छातीमा मायामिश्रित सुरक्षाको ग्यारेन्टी खोज्ने उमेर हो उसको  । ,गाचौ विशाल मीछाटीआङ मायामिस सुरक्षो ग्यारे पाके उम आले होच्यो ।
मारी विस्मययुक्त मोहकतासाथ मुस्कुराइरहेकी थिई  । ,मामा विस्मयुक्त मोहक मोहट्ठ मुस्डीमलेच लेया ।
कमिलाको दुलो कमिलाका लागि घर हो  । ,सेनओ दुलो कमिला लागी इम आले ।
म बुबाको हरेक डिसअर्डरलाई अस्वीकार नगरीकनै अस्वीकृत गरिदिने प्रयत्न गरिरहन्थें  । ,ङा बोइओ हरेक डिसअर्डके खयाकार मागरीकन ऐकृट गरीयाहाके प्रेट्ठर जाट्मनङुओला ।
कसैकसैले अनाजसँग आइमाई साट्थे  । ,सुयोरय अजकठा माझा मार्ह्च सराथे ।
"तपाईँ भोलि जाने होला , कसो ? ","नाकुङ पीहीन नुङ्के ओला , कुट ?"
टिकुली मल छ  । ,टीकुली मल ले ।
उसको बाबु र आमा के गर्दै होलान्  ? ,होच्यो बाबु र मोइ ही जाट्मन ओला ?
"खै , मलाई छ थाहा छैन  । ","खै , ङाके ठाहा माले ।"
पुतली दिदीले वीरेन्द्रलाई कुट्न खोजिन् । ,पुली डैय वीहारेन्द्रके खेप्के पा ।
"तर , उसले भनेका कुराको उसका लागि कुनै अर्थ थिएन । ","टर , होच्य डेनाङ कुराओ लागी होच्यो लागी न अर्थ मालेया ।"
लगातार परेको झरीले एक त दाउरा ओस्सिन्थ्यो  । ,लगा टार परीस्च झरीय काट च डाजी पुराउसियोला ।
"मलाई संसार देखाउने , संसार चिनाउने  । ","ङाके संसार टनाक्के , संसार चिना ।"
हाम्रो आँसु र हिक्क–हिक्कले बालाई सोधिरहेथ्यो । ,कानुङ मीमीकडी अनी हीक्क ङुचय बाके गीना ।
सधैं छ्यामाको स्कुल जाने बाटो ढुक्छ । ,सेनडसेन ब्यासाङो स्कुल नुहुँके लाम ल्हुङ्लेसा ।
ती किरी कहिले काहीँ मागी खान हाम्रो दैलोमा पनि आउँथिन्  । ,होसे किरी सेन ङीहीँ ज्यान कानुङ दैलोआङ ड राहा ।
पछि फर्केँ  । ,न्हुनीङ ल्हेसा ।
उसको दृष्टिमा होटेल भन्ने चिज सिनेमाको पर्दामा देखिने कुनै मनोहर वस्तु थियो  । ,होच्यो दृष्टिआङ होटल डेच चीज सिकेपाङो वाङ्मन खेर्केन महराङ्मन लेया ।
अँ तिमीले बत्ती पो निभायौ कि  ? ,अँ ने बत्ती पो निभाये की ?
"हप्ता दिनपछि , आजित भएर मैयाँ दिदीले हप्काउनु भयो , पुतली दिदीलाई । ","हप्ता याक न्हुनीङ , छीनीङीट छान्ह्मन मैयाँ डैय हप्टाको , पुली डैके ।"
आक्रमणको निशाना दलित महिलालाई बनाए । ,आक्रमणो निशाना दलित माझाके खास्च ।
"एक , खास प्रकृतिको भूगोल  । ","काट , खास प्रकृतिओ भूगो ।"
उनको डेरामा तिमीहरूको भेटघाट प्रायशः भइरहन्थ्यो  । ,होच्यो डेराङ नाको डुपाट प्रायसः छान्ह्मनङुओला ।
करिव करिव तिन हप्ता खोजेपछि बानेश्वर बुद्धनगरमा एउटा मध्ययुगीन गुफा जस्तो कोठा पाएँ । ,करिव करिवन हप्टा पाप्याक बाल्लौ बर बुद्धन जागरमा काट मढ्याङ्गन कोठाङ लख कोठाङ नुहुँआ ।
कुटको शीरमा सारीकै फेर च्यातेर सुमतीले फेटा लगाइदिएकी छे । ,कटो शीराङ सारीमौ फेरो च्याक्म मीस्मनलेच मीटाय फेटाक्म ले ।
मैले तपाईँको अगाडि छापामार युद्धका करतबहरू देखाएको थिएँ  । ,ङै नाकुङ अगाडी छाप्डीचयुद्धुद्धो करतबको टनाक्च लेया ।
सर्वत्र गहिरो हतासा एवं भयावह सन्नाटा व्याप्त भयो  । ,सूव्र गहिरो हटा एक्वं भाइ वीन्न सन्न व्याप्ट छान्हा ।
तेमाल म्युजियममा यहाँलाई स्वागत छ । ,टेमाल म्युमयाङ इलाङके स्वागट ले ।
जानसेनले भन्यो  । ,मनने डेया ।
"अलिकति चियापत्ती , चिनी , दूध र पानी खाएर स्टोभमा पेट सेकाए त पेटमै पाक्छ नि चिया । ","इटार चियापत्ती , चिनिकानी , डुढ अनी डी गाम स्टाभाङ मीटुकाङ मीटुकान डीन्लेसा नी ।"
मैले शिर हल्लाएर स्वीकृति दिएँ  । ,ङै शिरो होयोक्म स्विकृति ङायाहाङ ।
सिन्की धूप मात्रै लिएर आएँ बुबाको सामुन्ने  । ,पाहाम धुप मात्र लाम राहा बोइओ सामुन्ने ।
"तेमालको इतिहास , सभ्यता , रहनसहन सबै झल्किने थाङ्का चित्र भित्ताभरि सजिएका थिए  । ","टेमालो इटीहास , सभ्यता , रहनस जम्मै झोल्की ठाङ्का ठोहोके ठिताभरिस्च लेया ।"
"ढलान छाना , सेता भित्ता । ","ढोन छाप्डीना , सुटा भीट्टा ।"
जति खोस्रे पनि आगोको झिल्कोसमेत फेला परेन  । ,जटी खोरे ड म्हेनीङो झिल्सो झिटमेल पैडीस्के ।
जानलाई ठाउँ कहीँ थिएन  । ,जुनके ठाउँ कुलाङ मालेया ।
चिसोले तपाईको शरीरमा दाँत गाडिदिएको हुन्छ । ,क्योक्च नाकुङ शरीराङ मीस्याक गामयाहाच छान्ह्ले ।
लोभले त्यागलाई ओझेलमा पार्यो  । ,लोट्चय च्यागके झाल्के पा ।
"हिलो जमेको ठाउँ अधिक प्रभावशाली , अशान्त र कहिलेकाहीँ भयानक अरु केही हुँदैन । ","टीसीनीङ जम्च ठाउँ अधिक प्रवर्शाली , अशान् अनी सेनका भाइ सन अरु हीड माछान्ह्ले ।"
तर हावाहुरीको बेला जान सक्थेनौँ  । ,टर नामसुहुरीओ बेला नुहुँके य्होक्ले ।
सन् १७२९ देखि चेरा वंशले शासन चलायो । ,फुन् १ वाङ्च २ काट वाङ्म शासन केटा ।
"तर , भावनात्मक पक्ष एकै प्रकारको हुने गर्दछ  । ","टर , भावनाट्म पक्षकै प्रकारो छान्ह्के जाट्ला ।"
सबै जातिका आफ्ना भाषाका गीत–संगीत थिए  । ,जम्मै जाटीओ मेल्लौ भाषाओ ल्हीङ्मभ्याच लेया ।
म तँलाई भोलि दिउँसो लैजाउँला  । ,ङा च पीहीन याहालाङ नुहुँनीङ नुहुँनीङ ।
एउटा कविलाले अर्को कविला समाजलाई ध्वस्त पार्ने युगबाट अगाडि बढेर एउटा सामन्ती राज्यलाई अर्काले नष्ट गर्ने हुँदै धार्मिक युद्धसम्ममा व्यापक मात्रामा रैथाने बौद्धिक सम्पदा नष्ट हुँदै गए  । ,काट कविताय आस्काट कवि समाजके ध्वस्त पार्के इटपरीस्च अगाडी बढीस्म काट साधुद्टीके खेरेप छान्ह्मन नुहुँआ ।
"र , आँगनमा हँसिया लगेर उत्तानो पारेर राखिदिई  । ","र , आर्भाङ हँसिया नुहुँम उट्टा पार्डीम डामया ।"
जीवनका कठिन र कष्टकर उकाली ओराली बीच लिन ताओ चिङको कम्यूनिष्ट चेतनासँग साक्षात्कार भयो  । ,जीवन कठन कठडी अनी कष्टै उकाली ओरालो बीच मामन्डीच चीन्डीच कमला ।
छ्यासमिस । ,ओछ्यास ।
आफूबाहेक जम्मैलाई गलत देख्न थाल्छन्् । ,मेनबाहेक सबैके गलैडीस्के ठाल्हा ।
स्वभावतः खस नेपाली भाषामार्फत् बोल्न थाल्यो  । ,आवभावतः खस नेपाली भाषाङ फुर्फ ङाक्के ठाला ।
फूलको बीउ लिन  । ,सारो ड माजाट्नी ।
माथिकाले उनलाई ठाकुर बनाइदिए  । ,ढेमाङोय होसके थाकुर खासा ।
फुटपाथको कपडा पसल । ,फुट्पाथौ कपडा पसल ।
त्यस्तै झरीको मनपरी अर्को समस्या थियो  । ,हुन्च झरीओ मीमनपरी आस्काट समिस लेया ।
भाषाबिना न चिन्तन सम्भव हुन्छ न त ज्ञानको पुस्तान्तरण  । ,भाषा माव्हारा चीन्टन सम्भाव छान्ह्ले न च ग्ञानो पुस्तक टन्डीमण ।
अनि वीरेन्द्र । ,अनी वीडैन्द्र ।
दुईवटी केटी उसको छेउमा उभिए । ,न्हीसवटी माझा होच्यो छेवाङ टोङ्म टोङ्च ।
उसको करङ भित्र पसेको थियो । ,होच्यो करङ भीट्री पैडीस्च लेया ।
दर्शक जमात भीडमभीड छ  । ,दर्शक जमात भिड भीमभ्रड ले ।
दिदीले मानिनन् । ,डैय मामन्डीया ।
उनी तिहार सकेर मात्र फर्किइन्् । ,होसे तिहार डूमार मात्रै ल्हेसा ।
"एउटा , विदेशीको कब्जामा रहेको भूमिलाई मुक्त गर्नु  । ","काट , विदेशीओ कब्जाआङ लेच भूमीके मुक्तके जाट्के ।"
पहेंलो घाम महाभारत पर्वतमाथिको आकाशबाट ओरालो झर्दै गर्दा म गाउँ उक्लिँदै थिएँ  । ,पहेंलो नामखन महाभारत व्होराढेमाङो आशेईङ ओरालो झर्मन लेया ।
"तर , मारीले उसलाई हेर्दा के देखी ? ","टर , माटरीय होसके ङोस्नाङ ही डाङा ?"
पुतली दिदी असमायिक मुर्झाएको बिहान घाम लागेन । ,पुली डै असमाय मुर्झाक्च गोराक नामखन मालैडीसा ।
सानो छँदा  । ,ङा मार्ह्नाङ ले ।
यो सत्ताधारी कन्यूनिष्टको चुनावी सभा हो  । ,इसे सट्टा डाधारी क्यूनिष्टो चुवी सभाषा आले ।
गाईका लागि गोठ नै घर हो । ,हेटो लागी बरसाल न इम आले ।
वीरेन्द्र बाजिगरको गीतमा जिब्रो फट्काथ्र्यो । ,विन्द्र बाजी बाजीओ ल्हीङो ल्हीङ जीब्रो फ्याँहोला ।
सबैथोक सामान्य छ । ,जम्मैथोक सामान्य ले ।
ताओ चिङको उत्ताल आवेगयुक्त यो स्वरको अन्तरधारमा मलाई उपन्यासकार याङका यी उदात्त वचनहरू ध्वनित भएझैँ लाग्छ । ,तारो चीलीङ उट्टाल आवेगयुक्त इसे स्वरो अन्तर ढाराङ ङाके उपन्यास ख्योहोम इटन लैडीस्ले ।
लेख्ने विषयको चार किल्ला आफैँँ बाँधेर उनले भने । ,रीक्च विषयौ बूली की होयोका बाँढीस्म होचे डेया ।
विज्ञापनमा मौलिकता के हो त  ? ,विज्ञापनाङ मौलिक ही आले च ?
मेरो मन बेस्वादले उम्लेर आयो  । ,ङौ मीमन आर्वादे होस होम्म राहा ।
उनीहरुको स्तनको नाप लिन्थे त्यसअनुसार कर असुल्थे । ,होसकुङ स्टनो नापन लाथे होस अनुहुँओला ।
बाँकीचाहिँ ढोका र भर्याङभरि उभिएर बसे  । ,बाँकी बाङ्गा गला अनी भर्याङभरि टोङ्च ङुच ।
मेरो सासबाट पनि बाफ उड्यो  । ,ङौ सासीङ ड बाफ भुरा ।
मैले उसको अनुहारमा दृष्टिपात गरेँ  । ,ङै होच्यो मीटाहाङ दृष्टिपार्लाक ङाजाटाङ ।
यस खालको जीवन जति मोजमस्तीको देखिन्छ त्यति मोजमस्तीको हुँदैन  । ,छेल्हेसो जीवन जटी मोजमस्तीओ डाङार डेले होटार मोजमस्तीओ माछान्ह्ले ।
"अचानक , एउटा खरायो फुत्त उफ्रियो झाडीबाट  । ","अचन , काट खरायो फुट्ट फोर्जोहोजोहा झाटीङ ।"
"दुई , जीवनलाई आवश्यक भौतिक र बौद्धिक सामग्री  । ","न्हीस , जीवनके आवश्यक भटीक अनी बौद्धिक सामग्री ।"
उनका प्रायः सबै रचना पाकिस्तानभन्दा उत्तर भारतको विशाल पाठक समुदायमा प्रिय छन्् । ,होच्यो प्रायः जम्मै अनी प्रायक्तानडेनाङ उट्टर भूतओ विशाल डीन्ठुआङ प्रियुक्नाङ प्रियुन्म ले ।
मैले आमाको निद्रालाई बिथोल्न चाहिनँ  । ,ङै मोइओ मीमीकके बिर्थोक्के चैडीसा ।
म पनि के भाको अर्काको स्वास्नीलाई बित्थैमा आँखा लगाको । ,ङा ड ही भाओ अर्थौ स्वास्नीके बीट्ठाङ मीमीक लैडीया ।
"भैँसीलाई कुँडो , घरका सदस्यहरूलाई नास्तापानी , खानापानी गर्दावर्दा आगोको कारोबार लगभग दिनभरि नै हुन्थ्यो  । ","भैँसीके कुँडो , इमो सदस्यके नामास , छोपानी , छोपानी जाट्नाङ राहानाङ कारठागोराबारो काभो याक न ङुआ ।"
तर गाली गर्ने शब्दको रूपमा बाहेक उसले ती शब्दहरू कहिल्यै सुनेकी थिइन्  । ,टर गाली जाट्के शब्दओ रूपाङ बाहेक होच्य होस शब्दको सेनर सेके लेया ।
नाटककार बालकृष्ण समले नवरस अभिनय गरेर देखाए  । ,न एकककार बालकृष्ण समे मासवर अडेनाङ जाट्म टनाका ।
ऊ रिसाहा ढंगले हाँसी  । ,होस मीरीस ढंगय रेट्म ।
समग्रमा दिदी स्याकडीमा उनीएको सुकुटीजस्तो देखिन्थी । ,साटाग्राङ डै साँडीआङ होसे मीकुजलख डाङा ।
यस दृष्टिबाट गम्ने हो भने मानव जातिको इतिहास आफ्नै बौद्धिक सम्पदालाई नष्ट गर्दै तर नयाँ बौद्धिक सम्पदा खोज्दै भौँतारिएको इतिहास हो  । ,इस दृष्टिईङ गर्मी आले डेनाङ मावन जाहानो इटारो मेल्लौ बन्ढिक सम्बोकके पामनले ।
