MAGAR,NEPALI
समय अगाडी बढ्दै नुहुँके क्रमाङ देशाङ विभिन्न राजनीतिक परिवर्तन राहाके ठाला।,समय अगाडी बढ्दे जाने क्रममा देशमा विभिन्न राजनीतिक परिवर्तन आउन थाल्यो ।
जनताओ अधिकार पनडीस्च डाङार शसस्त्र विद्रोहाङ व्हाच राजनीतिक दलय लाङ्घाङ चहलपहल सुरु जाटा ।,जनताको अधिकार पनाएको देखेर शसस्त्र विद्रोहमा हिँडेका राजनीतिक दलले गाउँमा चहलपहल शुरु गर्यो ।
होसे आन्दोलने जीवनके कठा नुहुँके पा ।,त्यही आन्दोलनले जीवनलाई सँगै लाना खोज्यो ।
होसकोइ एसएलसी पास जाट्च बेलाङ देशाङ सु जिल्लालेकीङ सुरु जाट्च क्रान्तिओ ज्वालाय पूर्वी नेपालओ जिल्लाकोआङ आधार इलाका निर्माण जाट्मन लेया ।,उनीहरुले एसएलसी पास गर्ने बेलामा देशको केहि जिल्लाबाट शुरु गरेको क्रान्तिको ज्वालाले पूर्वी नेपालका जिल्लाहरुमा आधार इलाका निर्माण गर्दै थियो ।
होसे क्रमाङ जीवनये ड देशओ सेवा जाट्के मीमन बुच क्रान्तिआङ प्रवेश जाटा ।,यही क्रममा जीवनले पनि देशको सेवा गर्ने मन बोकेर क्रान्तिमा प्रवेश गर्यो ।
पार्टीय याहाच जीम्मेवारी पुरा जाट्मन नुहुँआ ।,पार्टीले दिएको जिम्मेवारी पुरा गर्दै गयो ।
जीवन अब कमरेड ज्वाला बन्डीसा ।,जीवन अब कमरेड ज्वाला बन्यो ।
सेनडसेन भर्मीय आर्मीट्च लख माछान्ह्के लेसा ।,सधैं मान्छेले सोचे जस्तो नहुने रहेछ ।
सुर कुराके हीड घटद्दँ अनी प्रवृटिय मात्रै आर्मीट्च जाटाक्के लेसा ।,कुनै कुरालाई केहि घटना र प्रवृतिले मात्र सम्झना गराउँदो रहेछ ।
"'ही छान्हा है , हुन्च ? छेल्हेसो दशैं सेहेच माछान्हा की ही आले भया ? '","'के भयो है , त्यस्तो ? यसपालिको दशैं राम्रो भएन कि के हो भाइ ? '"
'माहाले हुन्च माहाले दाजी । नाकोके ठाहा न ले ङा नाकुङ लाङ्घाङ नयाँ भेमी आले । नाकोके सुयर डेकेन मापर्ले ङा प्रदेश नम्बर १ ओ भर्मी प्रदेश नम्बर ३ ओ तामाङ लाङ्घाङ राहाम लाङ । ङै इसे ठाउँओ चलन ड सेहेमन माव्हार्म नाङ । ','होइन त्यसो होइन दाज्यु । तपाईलाई थाहा नै छ म तपाईहरुको गाउँमै नयाँ मान्छे हो । तपाईलाई कसैले भन्नै पर्दैन म प्रदेश नम्बर १ को मान्छे प्रदेश नम्बर ३ को तामाङ गाउँमा आएको छु । मैले यस ठाउँको चलन पनि राम्ररी बुझेको छैन । '
'माहाले ने सेहेमन माव्हार्च चाँही ही ? चु लाङ्घौ चलन न इन्च न ले। नो लाङ्घौ डेनाङ भीन्न मीमराङ्च माछान्हा च ? ','होइन तिमीले राम्ररी नबुझेको चाँहि के ? चु गाउँको चलन नै यस्तै हो । तिम्रो गाउँको भन्दा भिन्न रामाइलो भएन त ? '
प्रदेश नम्बर ३ ओ गल्याङ लाङ्घौ काले दाजीओ ज्वाँइ ।,प्रदेश नम्बर ३ को गुम्बा गाउँको काले दोजुको ज्वाँइ ।
गल्याङ डाँडाओ मगर लाङ्घाङ फुन्च ल्हाक्पा अनी सोनाम लाफा लाफँ आले ।,गल्याङ डाँडाको मगर गाउँमा जन्मेका ल्हाक्पा र सोनाम साथी साथी हो ।
सोनामओ इम चाँही पार्लाक किरात प्रदेशो किरोती लाङ्घाङ ले ।,सोनामको घर चाँहि पल्लो किरात प्रदेशको किरोती गाउँमा छ ।
संक्रान्ति बजाराङ स्याहाच कौडा नाच अनी झ्याउरे मात्रै डाङच सेम ले ।,संक्रान्ति बजारमा नाचेको कौडा नाच र झ्याउरे मात्र देखेको सुनेको छ ।
टीका बुच याक च नाबीक ग्याच टीका ड माबुके लेसा ।,टिका लगाउने दिन त रातो टिका पनि नलगाउँदो रहेछ ।
जमरा ड माबुके लेसा ।,जमरा पनि नलगाउँदो रहेछ ।
इसे ठाउँआङ राहार ङाके च दशैं मासेहेच लैडीसा ।,यो ठाउँमा आएर मलाई त दशैं नराम्रो लाग्यो ।
ही जाटीङ ङाल्ला च ससुरालीआङ दशैंआङ टीका बुके डेम राहाच ।,के गरौं आफू त ससुरालीमा दशैंमा टिका लगाउने भनेर आको ।
न टीका बुसाका न मीमराङ्च छान्हा ।,न टिका लगाइदियो न रमाइलो भयो ।
इन्चन आले डेनाङ राहाच ल्हेसाङ च माराहाड्याङ ड छान्ह्ले ।,यस्तै हो भने आउने वर्षमा त नआए पनि हुन्छ ।
माहाले सोनाम नाङके इन्च लैडीस्च मात्रै आले ।,होइन सोनाम तिमीलाई त्यस्तो लागेको मात्र हो ।
ताम्बा बुढापाका बाजीकोय दशैं च कानकोइ मन्डीके पस्च माहाले लेसा डेप्याक डास्च ।,ताम्बा बुढापाका बाजेहरुले दशैं त हामीले मनाउनु पर्ने होइन रहेछ भनेपछि छोडेको ।
"बाजीकोइ डेयाको कानुङ च म्हेनिङ मात्रै लेसा , देवटा नागके साङ सेरकेम जाट्के , साङ सेरकेम जाट्के , खेप्पासुङ मन्डीके मात्रै पो छान्ह्के लेसा ।","बाजेहरुले भन्नुभयो हाम्रो त म्हेनिङ मात्र रहेछ , देवता नागलाई साङ सेरकेम गर्ने , साङ सेरकेम गर्ने , खेप्पासुङ मनाउने मात्र पो हुने रहेछ ।"
"'नाकुङ लाङ्घालाक इन्च समाचार माटाहाचय नाकोके ठाहा माछान्ह् ले है सोनाम ' , डेप्याक सोनामय व्हाराहा ।","'तिमीहरुको गाउँतिर यस्तो समाचार नपुगेकोले तिमीलाई थाहा भएन छ है सोनाम ' , भनेपछि सोनामले सम्झ्यो ।"
माहाले ल्हाक्पासे साँचै कुरा न जाट्च की ?,होइन ल्हाक्पासे साँचो कुरा नै गरेको कि ?
कान तामाङय मन्डीके चाड दशैं आले की माहाले ।,हामी तामाङले मनाउने चाड दशैं हो कि होइन ?
अब चाँही व्हारम पढीस्म जाट्के परीसा ।,अब चाँहि बुझेर पढेर गर्नु पर्यो ।
चैडीस्च माचैडीस्च खर्च जाटा ।,चाहिने नचाहिने खर्च गर्यो ।
ज्या गा डूमा ।,खायो पियो सकियो ।
इसे चाँही दशैं माहाले की ?,यो चाँहि दशैं होइन कि ?
सोनामय मीमनाङ कुरा गेटुमन लेया ।,सोनामले मनमा कुरा खेलाउँदै थियो ।
इमभीट्रीईक सोनामओ सासुय ज्वाँइ इमभीट्री पैडीस्नी डेम डेयाको ।,घरभित्रबाट सोनामको सासुले ज्वाँइ घरभित्रै पस्नुहोस् भन्नु भयो ।
सोनाम अनी ल्हाक्पा कठा भीट्री पैडीसा ।,सोनाम र ल्हाक्पा सँगै भित्र पस्यो ।
अगेना छेउआङ कुलपूजारी बाजी अनी अरु बाजीको फलाक्मन लेया ।,अगेना छेउमा कुलपूजारी बाजे र अरु बाजेहरु भट्याउँदै थिए ।
सोनामे डेच अनुसार खेप्पास्हुङ मन्डीच बाजीकोय गुरुचेन्जेनो सोल्मो खासार फलाक्के ठाल्च लेसा ।,सोनामले भने अनुसार खेप्पास्हुङ मनाउन बाजेहरुले गुरुचेन्जेनको सोल्मो बनाएर भट्याउन थालेको रहेछ ।
होस ङोस्चौ ङोस्म न छान्हा डेनाङ कानय,उ हेरेको हरेकै भयो भने कानले
म्हारसाङको मह,म्हारसाङको मह
ए काइला ? छीनीङ नाङ ङाकठा बजार नुइङ न ।,ए काइलो ? आज तिमी मसँग बजार जाउँ न ।
छीनीङ पार्लाक लाङ्घाङ राँके मेला ले ।,आज पारी गाउँमा राँके मेला छ ।
ढेर मीमराङ्च छान्ह्ले ।,धेरै रमाइलो हुन्छ ।
म्हेल्हेस च ङा ड नुङ्च लेया ।,पोहोर त म पनि गएको थिएँ ।
छेल्हेस च सुर लाफा ड माडीन्हा ।,यसपाली त कोहि साथी पनि पाएन ।
ए आले है ! ?,ए हो है ! ?
मीमराङ्च छान्ह्ले डेनाङ ङा ड नुहुँलाङ नी ।,रामाइलो हुन्छ भने म पनि जान्छु नि ।
इनाङ चाँही झोको झोको डाउरा भारी बरसालसम्म टाहाकी न ।,आहिले चाँहि छिटो छिटो दाउरा भारी गोठसम्म पुर्याउँ न ।
झोको जाट्म भारी ओला डेनाङ सेहेच छान्ह्ले ।,छिटो गरी भारी पुग्यो भने राम्रो हुन्छ ।
इनाङसम्म च छो मेट ड म्हीन्केभ्या ओला ।,अहिलेसम्म त खाना तरकारी पनि पाकिसक्यो होला ।
छौटै छो ज्यार व्हाके ओला ।,छिटै खाना खाएर हिड्नु पर्ला ।
गोराकौ छो ज्यार काहिला अनि साँहिला राँके मेलाङ व्हा ।,बिहानको खाना खाएर काहिलो र साँहिलो राँके मेलामा हिँड्यो ।
डौरा सुरवाल बीलार खुकुरी लाप्याक च काइला ड दयाहाङ लख हिरो डाङा ।,दौरा सुरवाल लाएर खुकुरी भिरे पछि त काइलो पनि दयाहाङ जस्तै हिरो देखियो ।
माहाले नाङ च हिरो पो डाङ्मले है ।,होइन तिमी त हिरो पो देखियो है ।
अब राँके मेलाङ कुडीक ढेर माजाको चेलोहोके ओला है ।,अब राँके मेलामा कति धेरै तरुनीहरु झुन्डिन्छ होला है ।
हिरो च छान्ह्के परीसा नी है साहीला ।,हिरो त बन्नै पर्यो नि है साहिलो ।
नाङ ड हिरो न डाङ्मले नी हो ।,तिमी पनि हिरो नै देखिएछ नि हो ।
ङै मह ल्हाक्केओला ।,मैले मह चुसौला ।
काहिलाय साँहिलाके डेया ।,काहिलोले साँहिलोलाई भन्यो ।
काहिला अनी साँहिला होसको न्हीस ढेर खाट्च लाफा ।,काहिलो र साँहिलो उनीहरु दुबै धेरै मिल्ने साथी ।
जुलाक सुकै नुहुँनाङर कठाकठा व्हाके लाफा ।,जहाँ सुकै गएपनि सँगसँगै हिड्ने साथी ।
काइला साँहिलाओ मार्ह्चमोइओ लेन्जामीजा ।,काइलो साँहिलोका सानीआमाको छोरा ।
लाफा र दाजीभया र ।,साथी पनि दाज्यु भाइ पनि ।
कठाकठा होर्च दाजीभइ ।,सँगसँगै हुर्केको दाज्युभाइ ।
लोसाङो भर्मीय ङोस्नाङ च काट न मोइओ लेन्जामीजाको लख ।,टाढाको मान्छेले हेर्दा त एउटै आमाको छोराहरु जस्तो ।
काहिला डेनाङ साँहिला अलि चलाख लेया ।,काहिलो भन्दा साँहिलो अलि चलाख थियो ।
होच्य डेच कुरा छीट्टै माव्हारके ।,उसले भनेको कुरा छिट्टै नबुझ्ने ।
साँहिला चाँही छीट्टै व्हारच लेया ।,साँहिलो चाँहि छिट्टै बुझ्ने थियो ।
कउवा लख बाठो ।,काग जस्तो बाठो ।
छेल्हेस ड कोक्तासिङको चौरु भरीभरी छान्ह्च गरी भर्मी जम्मा छान्च लेसा ।,यसपालि पनि कोक्तासिङको चौर भरिभरि हुने गरि मान्छे जम्मा भएको रहेछ ।
साँहिला जुलाक काहिला ड होलाक भेला छान्हा ।,साँहिलो जता काहिलो पनि त्यही भेला भए ।
नाबीको जात्रा होस ड लाङ्घीङ लोसाओ सामुदायीक वनओ बीचाङ लैडीस्के ।,रातको जात्रा त्यो पनि गाउँदेखि टाढाको सामुदायीक वनको बीचमा लाग्ने ।
तेराथुमओ हम्मरजुङे चुरउटेईङ दमकला पसहाटसम्मओ भर्मी राहाके ।,तेराथुमको हम्मरजुङे चुरउटेदेखि दमकला पसहाटसम्मको मान्छे आउने ।
जम्मै विभिन्न उद्देश्ये टाराहाके ठाँउ ।,सबै विभिन्न उद्देश्यले आइपुग्ने ठाउँ ।
ढेर जसो चाँही लोसीङ लोसीङो चीनजानो भर्मीको डुप्ले की डेम राहाओला ।,धेरै जसो चाँहि टाढा टाढाका चिनजानका मान्छेहरु भेट हुन्छ कि भनेर आउँथ्यो ।
साँहिला म्हारसाङओ नीनीओ माझामीजा ।,साँहिलो म्हारसाङको फूपूकी छोरी ।
होसे साँहिला र म्हारसाङ ड डुपा ।,त्यहीँ साँहिलो र म्हारसाङ पनि भेट भयो ।
साँहिलाय म्हारसाङके ढेर माया जाट्ला ।,साँहिलोले म्हारसाङलाई धेरै माया गथ्र्यो ।
नाबीकसम्म काहिला चौरु कुर्म ङुआ ।,रातीसम्म काहिलो चौर कुरेर बस्यो ।
कलाप ङुन ल डेम व्हाच साँहिला ।,एकछिन बस ल भनेर हिड्यो साँहिलो ।
फोन जाट्ले स्विच अफ ।,फोन गर्यो स्विच अफ ।
चाउथे र म्हेनदोके गीना ।,चाउथे र म्हेन्दोलाई सोध्यो ।
सुयर डाङा माडेया ।,कसैले देख्यो भनेन ।
इलाक आलाक पा ढेमाङ म्हकाङ पा ।,यता उता खोज्यो माथि तला खोज्यो ।
कुलाक ड माहाडीन्हा ।,कतै भेटिएन ।
नाबीकभर कुलाक ड माख्योहोआ ।,रातभर कतै पनि निक्लेन ।
नाबीकभर म्हाटा ।,रातभर हराईो ।
गोराक झीसमीसेआङ झुलुक्क ख्योहोआ ।,विहान झिसमिसेमा झुलुक्क निक्ल्यो ।
मीमीक आर्जुम ख्योहोआ ।,आँखा मिच्दै निक्ल्यो ।
म्हारसाङ ड कठा लेया ।,म्हारसाङ पनि सँगै थियो ।
"काहिलाय गीना , माहाले साँहिला नाङ कुलाङ नुङ्च ?","काहिलोले सोध्यो , होइन साँहिलो तिमी कता गएको ?"
ङे नाबीमभर वाङा ।,मैले रातभर पर्खेँ ।
'साँहिला च नाबीकभर म्हारासाङो मह ल्हाक्म ङुआ नी नाङके ही ठा' पाल्देनय डेया ।,'साँहिलो त रातभर म्हारसाङको मह चुसेर बस्यो नि तिमीलाई के था' पाल्देनले भन्यो ।
सोनामये कथा रीक्के डासा ।,सोनामले कथा लेख्न छोड्यो ।
'हजुर झोर्ले मामाको ! ','हजुर नमास्कार मामाहरु ! '
सोनाम कोठाभीट्री पैडीसा ।,सोनाम कोठाभित्र छिर्यो ।
कोठाङ चूजना डेनाङ ढेर भर्मी भेला छान्ह्म लेया ।,कोठामा दशजना भन्दा बढि मान्छे भेला भएको थियो ।
ज्या ज्या मामा ङुनी डेम पाल्साङय ङुके ठाउँ डास्म याहा ।,हजुर हजुर मामा बस्नुस् भन्दै पाल्साङले बस्ने ठाउँ छोडी दियो ।
"कलापीङ डोल्मो , मिक्साङ अनी कुनुसाङ ड कलापीङ आस्काट कुरा ङाक्म कोठाङ पैडीसा ।","एकछिन पछि डोल्मो , मिक्साङ र कुन्साङ पनि एकपछि अर्को कुरा बोलदै कोठामा पस्यो ।"
"'माहाले छीनीङ कान इटार मात्रै ? ' , पासाङय सोनामके गीना ।","'होइन आज हामी यति मात्र ? ' , पासाङले सोनामलाई सोध्यो ।"
माहाले पो कान चाँही झोको टाराहालेसा ।,होइन पो हामी चाँहि छिटो आइपुगेछ ।
बसय खुरुर टाहाराका ।,बसले खुरुर ल्याइदियो ।
ढीला माछान्चय झोको छान्हा ।,ढिला नभएकोले छिटो भयो ।
अरु लाफाको जामाङ ढीलो छान्हा ओला ।,अरु साथीहरु जाममा ढिलो भयो होला ।
"कुरा जाट्नाङ जाट्नाङ ङेमा , निरेस अनी थोकोर बाजीओ हुल ड कोठाङ पैडीसा ।","कुरा गर्दा गर्दै ङेमा , निरेस र थोकोर बाजेको हुल पनि कोठामा पसे ।"
नामसीन खाङ्मभ्याम लेया ।,मध्य दिन नाघिसकेको थियो ।
शनिबारओ दीन ।,शनिबारको दिन ।
जम्मैओ छुट्टी ।,सबैको छुट्टि ।
भक्तपुराङ थाङ्का रीक्के सोना अनी योन्जन डै ड फुट्ट ख्योहोआको ।,भक्तपुरमा थाङ्का लेख्ने सोना र योन्जन दिदी पनि फुत्त निक्लिनु भयो ।
ज्या झोर्ले जम्मैके डेम कलापीङ आस्काट राहा ।,हजुर नमस्कार सबैलाई भन्दै एकपछि अर्को आयो ।
'ज्या झोर्ले छीनीङो इसे कार्यक्रमाङ स्वागट ले ! ' साङमोय कार्यक्रम सुरु जाटा ।,'हजुर नमस्कार आजको यो कार्यक्रममा स्वागत छ ! ' साङ्मोले कार्यक्रम शुरु गरिन् ।
छीनीङो इसे माघ महीना शनिबारो याक आले ।,आजको यो माघ महिना शनिबारको दिन हो ।
कार्यक्रमाङ सहभागि जम्मै लाफाकोके स्वागट ले ।,कार्यक्रममा सहभागि सबै मित्रहरुलाई स्वागत छ ।
नाकोके कार्यक्रमाङ ङा कार्यक्रम सञ्चालिकाओ टर्फीङ स्वागट ले ।,तपाईहरुलाई कार्यक्रममा म कार्यक्रम सञ्चालिकाको तर्फबाट स्वगत छ ।
कार्यक्रमाङ नाकोके रचना वाचन जाट्के अनी सेके य्होक्ले ।,कार्यक्रममा तपाईहरुले रचना वाचन गर्न र सुन्न सक्नुहुन्छ ।
साङ्मोय डेमन नुङा ।,साङ्मोले भन्दै गइ ।
स्यान्दोय सेमन नुङा ।,स्यान्दोले सुन्दै गयो ।
महीनाओ काट पटक छान्ह्के इसे कार्यक्रम बारे पोतेके हीड ठाहा मालेसा ।,महिनाको एक पटक हुने यो कार्यक्रम बारे पोतेलाई केहि थाहा रहेनछ ।
ए डोल्मो इसे कुन्च कार्यक्रम आलर् ?,ए डोल्मो यो कस्तो कार्यक्रम हो ?
स्याहाके ल्हीङ्के की भाषण जाट्के ?,नाच्ने गाउने कि भाषण गर्ने ?
होच्य डोल्मोओ मनकेपाङ न गीना ।,उसले डोलमोको कानैमा सोध्यो ।
होसको न्हीस जनौ खासकुस खासखुस छान्ह्मन लेया ।,उनीहरु दुई जनाको खासखुस खासखुस हुँदै थियो ।
डोल्मोय काट कविता उन्चम ले नानी म्यारमीन रीको डेम डर्ता जाटा ।,डोल्मोले एउटा कविता ल्याएको छ बहिनी नाम लेख भनेर दर्ता गरी ।
पोतेके ड गीना ।,पोतेलाई पनि सोध्यो ।
"'ङै कुरा माव्हारा नानी , नाकोइ ही डेयाको ? ' , पोतेय गीना ।","'मैले कुरा बुझिन बहिनी , तपाईले के भन्नु भएको ? ' , पोतेले साध्यो ।"
ए . . . दाजी इसे कार्यक्रम मगर भाषाओ साहित्यिक कार्यक्रम आले ।,ए . . . दाज्यु यो कार्यक्रम मगर भाषाको साहित्यिक कार्यक्रम हो ।
"इलाङ दाजी नयाँ लेसा , कलापीङ ल्हेस्म राहालाङ है दाजी डेयार मीहुटाङ कापी अनी कलम बुम होसे नानी अर्को पट्टी व्हा ।","यहाँ दाज्यु नयाँ रहेछ , एकछिन पछि फर्केर आउँछु है दाज्यु भनेर हातमा कापी र कलम बोकेर तिनी बहिनी अर्को पट्टि हिँडी ।"
जम्मैओ म्यारमीन ढुमार होसे नानी पोते ङुच ठाउँआङ ल्हेस्म टाराहा ।,सबैको नाम टिपेर तिनी बहिनी पोते बसेको ठाउँमा फर्केर आइपुगी ।
दाजी इसे कार्यक्रम लोट्च समय पहीलीङ सुरु जाट्च आले ।,दाज्यु यो कार्यक्रम लामो समय पहिलेदेखि शुरु गरेको हो ।
इसे चूबाङ्गा ल्हेसीङ सुरु जाट् अभियान आले ।,यो पन्ध्र वर्षदेखि शुरु गरिएको अभियान हो ।
मातृभाषा अनि साहित्यके स्याटाक्के साराक्के जाट्के पर्ले दाजी ।,मातृभाषा र साहित्यलाई फलाउने फुलाउने गर्नु पर्छ दाज्यु ।
इटार डेप्याक प्रयत्न नानीय हीड व्हारच लख जाटार डेया इटार मात्रै माहाले दाजी इसे कार्यक्रमाङ सहभागिकोके मे-मेल्लौ पुस्तक ड छाप्डीम ले ।,यति भने पछि प्रयत्न बहिनीले केहि सम्झे जस्तो गरेर भनि यति मात्र होइन दाज्यु यो कार्यक्रममा सहभगिहरुले आ-आफ्ना पुस्तक पनि छापेका छन् ।
"कविता , कथा , आत्मकथा , लघुकथा अनी नाटक संग्रह राहामभ्यम ले ।","कविता , कथा , आत्मकथा , लघुकथा र नाटक संग्रह आइसकेको छ ।"
सेहेच कुरा चाँही ही आले डेनाङ दाजी कानुङ मातृभाषाङ कलम केट्चकोके कानकोइ काट ठाउँआङ भेला जाटार डाम ले ।,राम्रो कुरा चाँहि के हो भने दाज्यु हाम्रो मातृभाषामा कलम चलाउनेहरुलाई हामीले एक ठाउँमा भेला गरेर राखेका छौं ।
होसे नानीओ कुरा सेयार पोते खुसी छान्हा क्यारे मीटालु होयोक्म धन्यवाद नानी डेम हीड रीक्के ठाला ।,ती बहिनीको कुरा सुनेर पोते खुसी भयो क्यारे टाउको हल्लाउँदै धन्यवाद बहिनी भन्दै केहि लेख्न थाल्यो ।
कार्यक्रम सुरु छान्मभ्याम लेया ।,कार्यक्रम शुरु भैसकेको थियो ।
वनग्वो कमाइ वुटाङ अैंजेरु मीस्या ।,चरीको कमाइ रुखको अैंजेरु फल
सेनी सेनी डेले ङा,सुन सुन भन्छु म
पाल्साङय स्टेजाङ नुङार इसे ल्हीङ ल्हीङा ।,पाल्साङले स्टेजमा गएर यो गीत गायो ।
नामसीनो उम्च कोठाङ उकुसमुकुस ।,दिउँसोको गर्मी कोठामा उकुसमुकुस ।
लै है दाजीभया डैनानी क्योक्च डी गानी ।,लै है दाज्युभाइ दिदीबहिनी चिसो पानी खाउँ ।
कलापीङ अर्नी राहाले ।,एकछिन पछि खाजा आउँछ ।
उद्घोषकये माइकाङ म्हुटा ।,उद्घोषकले माइकमा फुक्यो ।
होलाक पट्टी सोना अनी डोलमो चाँही खासखुस खासखुस कुरा ङाक्म लेया ।,उता पट्टि सोना र डोलमो चाँहि खासखुस खासखुस कुरा बोलिरहेका थिए ।
माछान्ह्ले छान्हा माराहाच राहा ।,नुहुने भयो नआएको आयो ।
नेवाकोटो डोलमो अनी काभ्रो सोनाम होलाङ भेट छान्ह्च टा ।,नेवाकोटको डोलमो र काभ्रेको सोनाम त्यहीँ भेट भएको रे ।
पाल्साङय डेया ।,पाल्साङले भन्यो ।
कविता रीक्च डोल्मोय पाल्साङो जाक्लेसा ।,कविता लेख्ने डोल्मोले पाल्साङको मन पराएछ ।
होच्यो कविता इन्च लेया-,उनको कविता यस्तो थियो-
माङुनी डैनानी नर्कआङ,नबस दिदीबहिनी नर्कमा
सोइङ अब च सोइङ न,उठौं अब त उठौं न
व्हानी व्हानी डैनानी,हिँड हिँड दिदीबहिनी
कविता ढेरे जाका ।,कविता धेरैले मन पराईो ।
हलो जम्मैय टाली ङाहा ।,हलको सबैले तालि पिट्यो ।
उद्घोषकओ छेवाङ ङुच सोनामके होडीकढेर मीमराङच माछान्हा ।,उद्घोषकको छेवैमा बसेको सोनामलाई उतिसारो रमाइलो भएन ।
होसके कथा मात्रै मीमन परीस्ले ।,उसलाई कथा मात्र मन पराउँछ ।
होच्य ढेर कथाको रीक्म ले ।,उसले धेरै कथाहरु लेखिसकेको छ ।
"डेनाङड कविता , गजल अनी ल्हीङ लख कार्यक्रमाङ कथा वाचन माजाट्ले ।","भएपनि कविता , गजल र गीत जस्तो कार्यक्रममा कथा वाचन गरिदैन ।"
पेमाय सोनाय डेच कुरा व्हारनाङ लख जाट्म मीटालु होयोका ।,पेमाले सोनाले भनेको कुरा बुझे झैं गरि टाउको हल्लायो ।
कार्यक्रम अगाडी बढीस्मन लेया सुस्मिता ड फुट्ट ख्योहोआ ।,कार्यक्रम अगाडी बढ्दै थियो सुस्मिता पनि फुत्त निक्ल्यो ।
होसके हीओ भाषा ? हीओ साहित्य हीड मतलब मालेया ।,उनलाई केको भाषा ? केको साहित्य केहि मतलब थिएन ।
होच्य ओल्टारसम्म य्होक्टारसम्म काम जाट्ला ।,उनले पुगेसम्म सकेसम्म काम गर्यो ।
होसके तामाङ जनताय हीड सहयोग माजाटा ।,उनलाई तामाङ जनताले केहि सहयोग गरेन ।
आले होच्यो जीवन लाफा सोनामके ड होटन लैडीसा ।,हो उनको जीवन साथी सोनामलाई पनि त्यस्तै लाग्यो ।
जुटार खेर्नाङ ड रीक्नाङ ड अहँ इसे जनताय माडाङा ।,जति कुदे पनि लेखे पनि अहँ यो जनताले देखेन ।
सुस्मिताय सोनामो कुरा चेम जम्मैओ बीचाङ कुरा डा ।,सुस्मिताले सोनामको कुरा काटेर सबैको बीचमा कुरा राख्यो ।
खोइ नाकोइ पाच अधिकार डीन्हा ? कानकोइ पाच लक्षाङ टाहा ? सुस्मिताय गीना ।,खोइ तपाईले खोजेको अधिकार पायो ? हामीले खोजेको लक्षमा पुग्यो ? सुस्मिताले सोधी ।
खाली डुखा मात्रै खेप्डीके परीस्के ।,खाली दुःख मात्र खेप्नु पर्ने ।
राज्ये हीड सहयोग माजाट्के ।,राज्यले केहि सहयोग नगर्ने ।
"'जनताय ड सहयोग माजाट्के डेनाङ ङा ड कथा रीक्के ही मटलब' , सोनाम फोर्जोहा ।","'जनताले पनि सहयोग नगर्ने भए मलाई पनि कथा लेख्न के मतलब' , सोनाम उफ्रियो ।"
"नाबीलाकौ बूली ङाहा , कार्यक्रम डूमा ।","बुलुकीको चार बज्यो , कार्यक्रम सकियो ।"
कानकोइ कोच लामय लक्षसम्म जनताके टन्डीके य्होक्के पर्ले ।,हामीले खनेको बाटोले लक्षसम्म जनतालाई तान्न सक्नु पर्छ ।
माहाले डेनाङ रोकोट्याक जुडीन न फोर्जोहोनाङ ड कुवाङ न डेनाङ लख छान्ह्ले ।,होइन भने भ्यागुता जति नै उफ्रे पनि कुवाको कुवामै भने झैं हुन्छ ।
राजयसट्टाको फेट्च र भेदभाबो कारणय कानुङ भाषा अनी साहित्यके ढेमाङ सोट्के माय्होक्च आले ।,राज्यसत्ताको थिचाइ र भेदभावको कारणले हाम्रो भाषा र साहित्यलाई माथि उठाउन नसकेको हो ।
भया अब रीक्के ठाल्के पर्ले ।,भाइ अब लेख्न थाल्नु पर्छ ।
"'माट्म नुङच साहित्यके वाटाक्के कराक्के पर्ले' ,माइलाय जम्मै माझाङ डेया ।","'हराएर गएको साहित्यलाई फूलाउनु बढाउनु पर्छ' , माइलाले सबैको माझमा भन्यो ।"
डेनाङड होचे इनाङ कलम जीमके माहेका ।,भएपनि उसले अहिल्यै कलम समाउन सकेन ।
"सन्तवीर , जङ्गवीर , ज्याम्याङ बाजीलाकीङ टीसीनीङो साहित्यढेमाङ कलम केट्केसम्मो काइरानय गुन्जीडीस्नाङ पो सोनाम रीहीना ।","सन्तवीर , जङ्गवीर , ज्याम्याङ बाजेदेखि हिजोका साहित्यमाथि कलम चलाउनेसम्मका काइरानले गुन्जिदा पो सोनाम बिउँझियो ।"
न्हीस नम्बर सीटो माझा ।,दुई नम्बर सिटको महिला
हीले बसपार्कओ क्योक्च नाम्सुय ङापार मीगाला ग्याच ग्याच छान्हा ।,हिले बसपार्कको चिसो हावाले हानेर गाला रातोरातो भयो ।
चन्द्रकमार दोङो ल्हीन 'ग्याच ग्याच मीगाला ' डेनाङ लख ।,चन्द्रकुमार दोङको गीत 'रातो रातो गाला' भने झैं ।
सेन मकालु काउन्टर ।,कहिले मकालु काउन्टर ।
सेन धनबहाद्र गोङ्बा बाजीओ आर्भा ।,कहिले धनबहादुर गोङ्बा बाजेको आँगन ।
सेन लुका ट्राभल्सो काउन्टर ।,कहिले लुका ट्राभल्सको काउन्टर ।
हीले बजाराङ नयाँ भर्मी भीट्री ड अक्ष नयाँ भर्मीय जम्मै मीमीक टन्डीया ।,हिले बजारमा नयाँ मान्छे भित्र पनि अझ नयाँ मान्छेले सबैको आँखा तान्यो ।
